run,temp_c,phosphor_mv
1,19.29,441.9
2,18.86,443.8
3,19.38,438.2
4,19.23,441.0
5,19.32,441.1
6,19.90,448.5
7,20.09,454.2
8,20.58,436.0
9,21.63,460.7
10,21.20,461.4
11,21.94,465.8
12,21.86,465.9
13,21.94,474.0
14,22.39,467.7
15,23.26,477.0
16,23.50,480.6
17,22.50,468.3
18,24.18,479.8
19,25.21,485.1
20,24.91,476.3
21,25.41,482.9
22,25.02,503.6
23,26.28,500.1
24,26.42,492.6
25,26.27,502.7
26,26.19,501.0
27,26.70,504.5
28,27.30,519.8
29,28.51,517.0
30,27.68,507.8
31,28.77,516.6
32,29.26,533.2
33,29.47,526.6
34,30.16,534.0
35,30.54,537.5
36,31.20,544.2
37,30.47,539.3
38,30.99,538.1
39,31.55,553.9
40,31.07,544.4
